"Title","HH & NPISH (S.14 + S.15): Disposable income, gross (B.6g): Uses/Resources: Current price: £m: NSA"
"CDID","QWND"
"PreUnit","£"
"Unit","m"
"Release date","30-06-2020"
"Next release","30 September 2020"
"1955","13139"
"1956","14135"
"1957","14876"
"1958","15602"
"1959","16601"
"1960","17921"
"1961","19249"
"1962","20230"
"1963","21416"
"1964","23210"
"1965","24971"
"1966","26598"
"1967","27796"
"1968","29757"
"1969","31890"
"1970","35255"
"1971","38943"
"1972","45152"
"1973","52527"
"1974","61691"
"1975","76772"
"1976","89200"
"1977","100807"
"1978","118931"
"1979","143361"
"1980","170373"
"1981","190670"
"1982","208492"
"1983","226268"
"1984","247003"
"1985","268748"
"1986","292167"
"1987","311759"
"1988","345265"
"1989","383620"
"1990","429055"
"1991","469934"
"1992","502214"
"1993","533020"
"1994","552566"
"1995","585533"
"1996","622071"
"1997","651395"
"1998","668585"
"1999","702820"
"2000","750982"
"2001","780337"
"2002","809996"
"2003","836113"
"2004","873821"
"2005","916466"
"2006","960926"
"2007","1015383"
"2008","1051335"
"2009","1077065"
"2010","1098719"
"2011","1119344"
"2012","1167913"
"2013","1211910"
"2014","1255665"
"2015","1322539"
"2016","1346016"
"2017","1382729"
"2018","1452493"
"2019","1489473"
